name,url,reputation_required,ecosystem,critical_bounty_usd,score,priority,status,new_since_last_week,web_reachability,notes
Strata,https://immunefi.com/bug-bounty/strata/information/,0,EVM,250000,12,HIGH,WATCH,False,skipped,"Phase 0 clean at commit 07fb443. June-2026 cooldown/CDO/RoundingGuard/UD60x18Ext scope additions postdate the March audits. Revisit on deployment change, new audit, known-issue update, or scope expansion. Immunefi (not HackenProof)."
Yearn V3 - Sherlock,https://audits.sherlock.xyz/bug-bounties/30,0,EVM,200000,12,HIGH,WATCH,False,skipped,"Phase 0 clean at 6c4ccc8. Base Vault.vy/TokenizedStrategy.sol/BaseStrategy.sol excluded as Immunefi duplicates; yRoboTreasury custom paths reduce to trusted roles + accepted auction risks. Sherlock scope is DYNAMIC (yearn.fi/v3). Revisit when a custom strategy is added, yRoboTreasury changes, or a strategy introduces custom valuation/withdrawal/reporting logic."
GMX v2 - Immunefi,https://immunefi.com/bug-bounty/gmx/information/,0,EVM,5000000,12,HIGH,WATCH,False,skipped,"Pending/lent-impact Phase 0 clean at 2b08e88. Live v2.2 mechanism reconciled on Arbitrum: split/full decreases telescope, full close clears pending impact, lent impact is symmetric, GM valuation and withdrawal caps are consistent. Revisit on deployed increase-path changes, liquidation/ADL changes, GLV aggregation changes, or a market with active nonzero lent impact."
Exactly - Immunefi,https://immunefi.com/bug-bounty/exactly/information/,0,EVM,25000,8,MEDIUM,WATCH,True,skipped,"Phase 0 clean at commit on audit/exactly-phase0. Exa smart-account stack (exactly/exa): value paths reduce to trusted keeper/collector/issuer roles + consume-once timelocked ProposalManager queue; receiveFlashLoan lead refuted by flashLoaner+flashLoaning-hash guard in ExaPluginExtension; InstallmentsRouter is borrow-only (no repay/rollover accounting). Low $25k ceiling + 20+ audits. Revisit on redeployed ExaPlugin/ProposalManager/Extension diverging in proposal-binding/flashloan-guard/collector-issuer auth, or new Market/DebtManager impl changing fixed-pool/liquidation/bad-debt accounting."
ShapeShift,https://hackenproof.com/programs/shapeshift,50,EVM,10000,6,MEDIUM,CLOSED-NO-FINDING,False,skipped,"public source, paid history; rFOX StakingV1 == audited, invariants hold. low max bounty."
Whitechain Bridge,https://hackenproof.com/programs/whitechain-bridge,50,EVM,100000,4,LOW,CLOSED-NO-FINDING,False,skipped,centralized bridge; signature domain gap refuted by distinct relayers.
SuperEarn Web & Smart Contracts,https://hackenproof.com/programs/superearn-web-and-smart-contracts,,EVM,30000,4,LOW,PAUSED-WATCH,False,skipped,"PAUSED-WATCH, HIGH on reopening. Custom cross-chain vault/accounting (Kaia CooldownVault/OriginVault/BridgeAccountant <-> Ethereum RemoteVault); public source superearn-io/superearn-core-public; permissionless flows; direct fund-safety invariants. Foundry-fork reproducible. Saturation HIGH (249 subs, $2.8k paid, 3 Certik reviews). Strategy: DEPLOYMENT-DIFF FIRST. Rep UNCONFIRMED — confirm <=80. See targets/superearn/reports/reopen-checklist.md. Do NOT assess while paused."
RISC Zero Blockchain Verifiers,https://hackenproof.com/programs/risc-zero-blockchain-verifiers,50,EVM,150000,3,LOW,PAUSED-TOOLCHAIN,False,skipped,"high-value verifier scope, toolchain-heavy; contract surface clean/audit-saturated. paused-toolchain-gate."
Cronos Smart Contracts,https://hackenproof.com/programs/cronos-smart-contracts,50,EVM,200000,3,LOW,CLOSED-NO-FINDING,False,skipped,"saturated ($0 paid, 146 subs); Fulcrom/Tectonic/Veno faithful forks or privileged. low EV unless scope changes."
Hyperbridge Protocol,https://hackenproof.com/programs/hyperbridge-protocol,,EVM/Rust,50000,3,LOW,PAUSED-TOOLCHAIN,False,skipped,"PAUSED-TOOLCHAIN. paid $152.5k, 2102 submissions; Solidity Merkle v1.1.0 hardened and independently reconciled (22/22 + 3/3 differential). Residual Rust/ISMP/proxy surface BLOCKED by missing cargo/rustc and lacks a specific consumer-binding lead. Reopen only with a reproducible Rust toolchain + working Rust/Solidity fixtures + a concrete commitment/timeout/proxy/MPT hypothesis not already regression-covered."
